Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Văn hóa doanh nghiệp,,,,,
,,,,,
Phân Loại,Câu Hỏi,Đáp Án Đúng,Hình Ảnh,Đảo Câu Hỏi,Ghi chú
Q,Tài liệu Văn hóa EVN gồm mấy chương?,,,,
A,1,,,,
A,2,X,,,
A,3,,,,
A,4,,,,
Q,Trong Chương I - Bản sắc Văn hóa EVN bao gồm những nội dung gì?,,,,
A,"Sứ mệnh, tầm nhìn, khẩu hiệu và triết lý hoạt động EVN",,,,
A,Các giá trị cốt lõi của EVN,,,,
A,Các chuẩn mực đạo đức nghề nghiệp của EVN,,,,
A,"Câu a,b,c đúng",X,,,
Q,"Sứ mệnh của EVN là cung cấp điện với chất lượng và dịch vụ ngày càng tốt hơn, đảm bảo trách nhiệm với môi trường và cộng đồng.",,,,
A,Đúng,X,,,
A,Sai,,,,
Q,"Trong tài liệu Văn hóa EVN, nội dung ""EVN là tập đoàn kinh tế hàng đầu trong lĩnh vực năng lượng tại Việt Nam và khu vực châu Á"" là",,,,
A,Sứ mệnh,,,,
A,Tầm nhìn,X,,,
A,Khẩu hiệu,,,,
A,Triết lý hoạt động,,,,
Q,Khẩu hiệu của EVN là:,,,,
A,Chuyên nghiệp-Minh bạch-Hiệu quả,,,,
A,Niềm tin-Trách nhiệm-Tiên phong,,,,
A,An toàn-Đoàn kết-Nhân văn,,,,
A,Thắp sáng niềm tin,X,,,
Q," ""Khách hàng là trung tâm của sự tồn tại và phát triển, con người là tài sản quý giá nhất, niềm tin được thắp sáng bằng các giá trị được tạo dựng và chia sẻ"" là:",,,,
A,Sứ mệnh,,,,
A,Các giá trị cốt lõi của EVN,,,,
A,Triết lý hoạt động,X,,,
A,Tầm nhìn,,,,
Q,Trong tài liệu Văn hóa EVN có bao nhiêu giá trị cốt lõi,,,,
A,4,,,,
A,5,X,,,
A,8,,,,
A,7,,,,
Q,Giá trị cốt lõi của EVN bao gồm:,,,,
A,Niềm tin-Chất lượng,,,,
A,Tiên phong - Sáng tạo,,,,
A,Trách nhiệm,,,,
A,"Cả a, b,c",X,,,
Q,Trong tài liệu Văn hóa EVN có bao nhiêu chuẩn mực đạo đức nghề nghiệp?,,,,
A,5,X,,,
A,2,,,,
A,3,,,,
A,4,,,,
Q,Các chuẩn mực đạo đức nghề nghiệp của EVN gồm:,,,,
A,An toàn-Đoàn kết,,,,
A,Nhân văn-Trung thực-Minh bạch,,,,
A,Niềm tin-Chất lượng-Tiên phong,,,,
A,Câu a và b,X,,,
Q,"EVN thắp sáng ….. bằng trách nhiệm, sự tận tâm, tinh thần tiên phong và sáng tạo để nâng cao chất lượng cuộc sống của…..và….",,,,
A,Ước mơ-khách hàng-đối tác,,,,
A,Niềm tin-khách hàng-cộng đồng xã hội,X,,,
A,Tương lai-khách hàng-CBCNV,,,,
A,"Cả a, b,c đều sai",,,,
Q,"Trong tài liệu Văn hóa EVN, Niềm tin thể hiện ở:",,,,
A,"Tôn trọng khách hàng, đối tác, đồng nghiệp và đối xử với họ như cách chúng ta muốn được đối xử",,,,
A,Ứng xử chuyên nghiệp và thiện chí với mọi người,,,,
A,Câu a và b đúng,X,,,
A,Tuân thủ các tiêu chuẩn nghiêm ngặt về an toàn,,,,
Q,"Trong tài liệu Văn hóa EVN, EVN cam kết cung cấp sản phẩm và dịch vụ có…. cho khách hàng và cộng đồng xã hội",,,,
A,Niềm tin,,,,
A,Chất lượng,X,,,
A,Sáng tạo,,,,
A,Tiên phong,,,,
Q,EVN….trong nghiên cứu và phát triển để tạo ra những đột phát về năng lượng cho đất nước,,,,
A,Tin tưởng,,,,
A,Phấn đấu,,,,
A,Tiên phong,X,,,
A,Sáng tạo,,,,
Q,"Trong tài liệu Văn hóa EVN, nâng cao tinh thần học hỏi từ công việc, đồng nghiệp và đối tác, thử thách bản thân bằng các sáng kiến mới là điều chúng ta nên làm theo giá trị cốt lõi nào?",,,,
A,Sáng tạo,X,,,
A,Niềm tin,,,,
A,Nhân văn,,,,
A,Đoàn kết,,,,
Q,"EVN luôn có quan điểm nhất quán rằng,….. với khách hàng, đối tác, cộng đồng xã hội và với tương lai của đất nước là một phần không thể thiếu trong….của EVN",,,,
A,Phương châm - nhận thức,,,,
A,Đoàn kết - giá trị,,,,
A,An toàn - nhiệm vụ,,,,
A,Trách nhiệm - sứ mệnh,X,,,
Q,"Các giá trị chuẩn mực đạo đức nghề nghiệp của người EVN bao gồm ""An toàn-Đoàn kết-Nhân văn-Trung thực-Minh bạch""",,,,
A,Đúng,X,,,
A,Sai,,,,
Q,....là tôn chỉ hành động và chuẩn mực … mà EVN phải thực hiện nghiêm ngặt.,,,,
A,Trung thực-văn hóa,,,,
A,An toàn - đạo đức,X,,,
A,Sáng tạo-văn hóa,,,,
A,Niềm tin-văn hóa,,,,
Q,"Trong tài liệu văn hóa EVN, nguyên tắc chung để người EVN thực thi chuẩn mực Trung thực là:",,,,
A,Lãnh đạo phải làm gương,,,,
A,Sẵn lòng nhiệt thành cống hiến,,,,
A,Lời nói đi đôi với việc làm,X,,,
A,Kiến tạo và chia sẻ,,,,
Q,"Trong tài liệu văn hóa EVN, sức mạnh trong mọi hoạt động của EVN là tinh thần…..và….",,,,
A,Đoàn kết,,,,
A,Trí tuệ tập thể,,,,
A,Câu a và b sai,,,,
A,Câu a và b đúng,X,,,
Q,"Vì niềm tin của người lao động, EVN cam kết: ",,,,
A,"Đảm bảo ổn định việc làm và ngày càng nâng cao đời sống vật chất, tinh thần của người lao động.",,,,
A,"Mang đến cho người lao động sự tôn trọng, công bằng và môi trường làm việc an toàn, văn minh, thân thiện, tin cậy và minh bạch.",,,,
A,"Đầu tư đào tạo, phát triển toàn diện người lao động, luôn khuyến khích, tạo điều kiện cho người lao động rèn luyện, trau dồi kiến thức, kỹ năng để phát triển năng lực. ",,,,
A,Người lao động luôn là tài sản quý giá nhất,X,,,
Q,Các giá trị chuẩn mực trong hành vi ứng xử chung của EVN gồm:,,,,
A,Tôn trọng ,,,,
A,Tận tâm,,,,
A,Chuyên nghiệp,,,,
A,Hợp tác,,,,
A,Nghĩa tình,,,,
A,Tất cả các phương án trên.,X,,,
Q,Đâu là các nguyên tắc trong thực thi VHDN EVN,,,,
A,Nguyên tắc thứ nhất: Đã là EVN thì chất lượng và đáng tin cậy,,,,
A,Nguyên tắc thứ hai: Thực hiện công việc được giao và chịu trách nhiệm đến kết quả cuối cùng,,,,
A,Nguyên tắc thứ ba: Sức mạnh trong mọi hoạt động của EVN là tinh thần đoàn kết và trí tuệ tập thể,,,,
A,Nguyên tắc thứ tư: Có cá nhân xuất sắc mới có tập thể sáng tạo,,,,
A,Nguyên tắc thứ năm: Lãnh đạo phải làm gương,,,,
A,Cả 05 nguyên tắc trên,X,,,
Q,Sổ tay Chuẩn mực hành vi ứng xử EVNHCMC dành cho các đối tượng nào:,,,,Mới bổ sung
A,"Cán bộ quản lý, Nhân viên giao tiếp khách hàng, Nhân viên văn phòng",,,,
A,"Cán bộ quản lý, Công nhân điện, Nhân viên giao tiếp khách hàng",,,,
A,"Công nhân điện, Nhân viên giao tiếp khách hàng, Nhân viên văn phòng",,,,
A,"Cán bộ quản lý, Công nhân điện, Nhân viên giao tiếp khách hàng, Nhân viên văn phòng",X,,,
Q,Sổ tay Chuẩn mực hành vi ứng xử EVNHCMC dành cho bao nhiêu đối tượng:,,,,Mới bổ sung
A,4,X,,,
A,5,,,,
A,6,,,,
A,7,,,,
Q,"Mỗi cuốn Sổ tay Chuẩn mực hành vi ứng xử của EVNHCMC dành cho từng đối tượng—cán bộ quản lý, công nhân điện, nhân viên giao tiếp khách hàng và nhân viên văn phòng—được cấu trúc thành bao nhiêu phần",,,,Mới bổ sung
A,5,,,,
A,4,,,,
A,3,,,,
A,2,X,,,
Q,"Trong Sổ tay Chuẩn mực hành vi ứng xử, các chuẩn mực ứng xử chung được chia thành bao nhiêu chương",,,,Mới bổ sung
A,7,,,,
A,6,X,,,
A,5,,,,
A,4,,,,
Q,Các tài liệu nào dưới đây có liên quan đến Sổ tay Chuẩn mực hành vi ứng xử của EVNHCMC:,,,,Mới bổ sung
A,"Tài liệu Văn hoá EVN, Tài liệu Phong cách lãnh đạo EVNHCMC",,,,
A,"Bộ Quy tắc ứng xử EVN, Tài liệu Phong cách lãnh đạo EVNHCMC",,,,
A,"Tài liệu Văn hoá EVN, Bộ Quy tắc ứng xử EVN, Tài liệu Phong cách lãnh đạo EVNHCMC",X,,,
A,"Tài liệu Văn hoá EVN, Bộ Quy tắc ứng xử EVN",,,,
Q,"Trong Phần “Các chuẩn mực hành vi ứng xử chung” của Sổ tay Bộ chuẩn mực hành vi ứng xử EVNHCMC, nội dung “Tuân thủ pháp luật và chuẩn mực đạo đức nghề nghiệp” được quy định tại chương nào",,,,Mới bổ sung
A,Chương I: Tuân thủ pháp luật và các chuẩn mực đạo đức nghề nghiệp,X,,,
A,Chương II: Thực thi tốt các quy tắc ứng xử chung,,,,
A,Chương III: Các chuẩn mực ứng xử và làm việc nội bộ,,,,
A,Chương V: Ứng xử với khách hàng và đối tác,,,,
Q,"Trong Phần “Các chuẩn mực hành vi ứng xử chung” của Sổ tay Bộ chuẩn mực hành vi ứng xử EVNHCMC, nội dung “Đặt con người ở vị trí trung tâm trong mọi hoạt động” được quy định tại chương nào",,,,Mới bổ sung
A,Chương I: Tuân thủ pháp luật và các chuẩn mực đạo đức nghề nghiệp,,,,
A,Chương II: Thực thi tốt các quy tắc ứng xử chung,,,,
A,Chương IV: Ứng xử với các cơ quan cấp trên và địa phương,,,,
A,Chương V: Ứng xử với khách hàng và đối tác,X,,,
